==173477== NVPROF is profiling process 173477, command: ./sciara_cuda_tiled_halo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==173477== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==173477== Profiling application: ./sciara_cuda_tiled_halo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==173477== Profiling result:
==173477== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","computeOutflows_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double, double, double, double, double)",10,"shared_store_transactions","Shared Store Transactions",136224,136224,136224
"NVIDIA GeForce GTX 980 (0)","computeOutflows_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double, double, double, double, double)",10,"l2_read_transactions","L2 Read Transactions",273291,273909,273509
"NVIDIA GeForce GTX 980 (0)","computeOutflows_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double, double, double, double, double)",10,"l2_write_transactions","L2 Write Transactions",25,170,107
"NVIDIA GeForce GTX 980 (0)","computeOutflows_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double, double, double, double, double)",10,"dram_read_transactions","Device Memory Read Transactions",146628,146932,146771
"NVIDIA GeForce GTX 980 (0)","computeOutflows_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double, double, double, double, double)",10,"dram_write_transactions","Device Memory Write Transactions",31750,32231,31956
"NVIDIA GeForce GTX 980 (0)","massBalance_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double*)",10,"gld_transactions","Global Load Transactions",5418338,5418338,5418338
"NVIDIA GeForce GTX 980 (0)","massBalance_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double*)",10,"gst_transactions","Global Store Transactions",116400,116416,116410
"NVIDIA GeForce GTX 980 (0)","massBalance_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double*)",10,"atomic_transactions","Atomic Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double*)",10,"local_load_transactions","Local Load Transactions",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_tiled_wH_kernel(int, int, int*, int*, double*, double*, double*, double*, double*)",10,"local_store_transactions","Local Store Transactions",0,0,0
